OTU_ID	TMCA10	TMCA11	TMCA12	TMCA1	TMCA2	TMCA3	TMCA4	TMCA5	TMCA6	TMCA7	TMCA8	TMCA9	TMCB10	TMCB11	TMCB12	TMCB1	TMCB2	TMCB3	TMCB4	TMCB5	TMCB6	TMCB7	TMCB8	TMCB9	TMCC10	TMCC11	TMCC12	TMCC1	TMCC2	TMCC3	TMCC4	TMCC5	TMCC6	TMCC7	TMCC8	TMCC9	TMCD10	TMCD11	TMCD12	TMCD1	TMCD2	TMCD3	TMCD4	TMCD5	TMCD6	TMCD7	TMCD8	TMCD9	TMCE11	TMCE12	TMCE1	TMCE2	TMCE3	TMCE4	TMCE5	TMCE6	TMCE7	TMCE8	TMCF10	TMCF11	TMCF12	TMCF1	TMCF2	TMCF3	TMCF4	TMCF5	TMCF6	TMCF7	TMCF8	TMCF9	TMCG10	TMCG12	TMCG1	TMCG3	TMCG4	TMCG5	TMCG6	TMCG7	TMCG8	TMCG9	TMCH10	TMCH11	TMCH12	TMCH1	TMCH3	TMCH4	TMCH6	TMCH7	TMCH8	TMCH9	TMCI10	TMCI11	TMCI12	TMCI1	TMCI2	TMCI3	TMCI4	TMCI5	TMCI6	TMCI7	TMCI8	TMCI9	TMCJ10	TMCJ11	TMCJ12	TMCJ1	TMCJ2	TMCJ3	TMCJ4	TMCJ5	TMCJ6	TMCJ7	TMCJ8	TMCJ9	TMCK10	TMCK11	TMCK12	TMCK1	TMCK2	TMCK3	TMCK4	TMCK5	TMCK6	TMCK7	TMCK8	TMCK9	TMCL10	TMCL11	TMCL12	TMCL1	TMCL2	TMCL3	TMCL4	TMCL5	TMCL6	TMCL7	TMCL8	TMCL9
580625	30	16	27	11	8	19	20	27	33	17	22	17	22	12	9	13	9	12	17	28	9	21	15	24	12	10	18	4	9	11	19	28	24	19	5	4	17	10	13	3	10	8	3	10	14	13	8	10	5	9	6	9	2	12	10	16	5	18	18	9	15	8	10	17	18	15	7	16	19	26	17	14	14	12	7	17	17	20	15	13	17	8	14	10	19	8	3	8	17	18	21	14	10	5	6	13	18	6	45	10	8	6	16	17	9	8	13	6	5	21	18	25	8	16	17	10	19	16	17	31	23	36	14	21	23	9	20	42	12	5	1	3	9	20	17	14	24	14
224834	48	37	16	43	40	81	43	32	41	25	39	30	16	14	17	48	37	61	38	28	40	18	7	28	18	12	25	49	47	39	88	53	56	63	43	17	27	31	23	67	60	57	52	40	45	29	30	25	31	20	54	47	42	38	47	72	14	27	11	20	18	32	56	62	77	67	70	35	35	26	12	31	55	47	40	30	28	36	23	17	18	15	15	26	37	56	13	28	26	19	11	18	24	78	54	64	36	29	38	81	32	34	15	13	22	41	76	92	77	79	31	57	28	38	21	7	8	77	141	67	42	58	33	66	47	32	41	17	54	47	57	36	45	40	14	50	23	53
303643	4	3	6	2	2	2	2	5	3	3	4	2	3	1	1	4	5	2	5	5	1	1	5	4	4	4	5	2	2	5	1	2	5	0	1	0	9	4	4	4	0	2	1	1	2	5	4	5	3	2	1	3	2	0	1	4	2	1	5	3	3	3	1	5	0	2	2	1	1	4	2	3	2	5	3	3	4	5	1	1	3	2	4	8	2	0	0	6	0	0	5	9	4	4	2	2	1	1	4	2	1	4	7	8	1	3	3	2	3	3	2	2	2	4	5	7	5	4	1	4	11	4	0	5	2	1	5	2	4	0	0	1	3	2	0	4	1	1
3603301	2	0	0	0	0	1	1	3	0	0	5	0	0	2	1	1	3	0	3	1	0	5	0	2	1	1	0	0	0	1	0	2	0	0	1	2	0	2	1	0	0	0	0	1	1	0	0	3	0	1	0	0	0	1	1	3	1	0	1	0	0	0	1	5	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	2	2	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	2	0	1	1	0	0	0	0	0	1	2	1	0	1	1	0	0	2	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	2	0
571363	12	15	9	5	8	8	5	1	2	4	4	3	10	4	7	9	6	14	7	4	6	1	5	7	3	5	3	11	23	14	7	1	6	7	13	4	3	5	7	12	8	17	21	27	12	5	19	11	7	8	14	10	5	10	8	8	12	12	3	7	5	4	10	4	2	13	10	9	12	1	7	11	2	6	7	6	1	0	11	6	15	7	3	4	11	17	24	6	9	5	6	5	3	8	9	1	15	12	4	5	7	7	10	6	8	2	3	16	9	15	22	2	14	8	7	6	7	7	3	4	7	3	9	12	7	8	1	2	7	4	6	10	6	4	9	12	9	2
1044436	19	13	5	19	14	27	6	10	12	13	21	28	18	14	10	17	20	16	7	18	19	26	15	19	10	13	29	27	20	18	12	24	16	18	20	6	21	14	8	18	21	9	25	13	20	13	24	20	11	23	22	16	18	9	15	14	16	28	9	12	17	11	19	14	19	30	21	16	26	17	24	11	25	35	14	38	21	33	27	20	17	19	12	28	15	19	24	23	24	20	22	16	12	10	14	22	10	6	15	15	6	17	20	13	20	16	15	14	16	15	14	14	13	22	14	7	13	15	22	24	11	19	34	30	25	19	29	8	14	7	23	26	13	23	25	15	21	13
2216508	10	6	6	4	9	13	2	9	4	8	0	8	16	2	13	7	12	15	4	4	5	10	7	7	16	12	2	2	10	7	8	8	0	7	10	0	11	12	12	6	7	6	1	5	4	9	12	3	6	12	9	15	3	12	9	4	3	1	17	18	12	8	5	12	10	12	4	10	10	11	6	7	7	6	8	2	4	8	5	9	19	12	5	15	19	6	7	5	12	7	10	4	11	4	8	1	6	2	11	1	0	2	7	5	8	4	7	2	2	6	2	5	7	2	7	8	11	2	4	6	12	8	4	2	3	3	14	10	1	1	4	2	4	4	6	4	6	3
94238	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
223989	3	1	2	3	6	7	2	6	3	0	1	2	0	2	0	1	4	6	0	4	1	4	7	4	5	8	3	0	6	5	2	10	11	6	1	0	0	3	0	3	0	5	0	1	4	4	0	0	0	3	2	7	0	2	1	1	6	3	2	1	1	0	6	8	2	3	3	9	3	9	9	7	4	4	3	5	2	1	2	2	1	0	1	4	3	2	1	4	6	0	3	4	1	1	2	5	6	0	5	11	4	4	2	1	0	0	10	7	2	6	3	13	8	7	1	3	0	3	2	5	13	0	7	12	3	1	4	3	1	2	7	5	3	6	2	5	8	3
3798902	5	0	5	1	0	1	2	2	6	3	6	1	6	1	0	1	2	0	0	2	0	0	0	2	3	0	1	0	1	3	0	1	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	2	2	2	0	0	0	3	1	0	3	1	2	0	3	2	0	0	2	0	1	0	0	0	0	1	0	2	0	0	2	0	1	5	1	0	0	2	0	0	0	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	2	2	2	0	0	0	0	0	2	0	0	0	0	1	1	1	2	1	0
