OTU,TMCA10,TMCA11,TMCA12,TMCA1,TMCA2,TMCA3,TMCA4,TMCA5,TMCA6,TMCA7,TMCA8,TMCA9,TMCB10,TMCB11,TMCB12,TMCB1,TMCB2,TMCB3,TMCB4,TMCB5,TMCB6,TMCB7,TMCB8,TMCB9,TMCC10,TMCC11,TMCC12,TMCC1,TMCC2,TMCC3,TMCC4,TMCC5,TMCC6,TMCC7,TMCC8,TMCC9,TMCD10,TMCD11,TMCD12,TMCD1,TMCD2,TMCD3,TMCD4,TMCD5,TMCD6,TMCD7,TMCD8,TMCD9,TMCE11,TMCE12,TMCE1,TMCE2,TMCE3,TMCE4,TMCE5,TMCE6,TMCE7,TMCE8,TMCF10,TMCF11,TMCF12,TMCF1,TMCF2,TMCF3,TMCF4,TMCF5,TMCF6,TMCF7,TMCF8,TMCF9,TMCG10,TMCG12,TMCG1,TMCG3,TMCG4,TMCG5,TMCG6,TMCG7,TMCG8,TMCG9,TMCH10,TMCH11,TMCH12,TMCH1,TMCH3,TMCH4,TMCH6,TMCH7,TMCH8,TMCH9,TMCI10,TMCI11,TMCI12,TMCI1,TMCI2,TMCI3,TMCI4,TMCI5,TMCI6,TMCI7,TMCI8,TMCI9,TMCJ10,TMCJ11,TMCJ12,TMCJ1,TMCJ2,TMCJ3,TMCJ4,TMCJ5,TMCJ6,TMCJ7,TMCJ8,TMCJ9,TMCK10,TMCK11,TMCK12,TMCK1,TMCK2,TMCK3,TMCK4,TMCK5,TMCK6,TMCK7,TMCK8,TMCK9,TMCL10,TMCL11,TMCL12,TMCL1,TMCL2,TMCL3,TMCL4,TMCL5,TMCL6,TMCL7,TMCL8,TMCL9
580625,15,8,13.5,5.5,4,9.5,10,13.5,16.5,8.5,11,8.5,11,6,4.5,6.5,4.5,6,8.5,14,4.5,10.5,7.5,12,6,5,9,2,4.5,5.5,9.5,14,12,9.5,2.5,2,8.5,5,6.5,1.5,5,4,1.5,5,7,6.5,4,5,2.5,4.5,3,4.5,1,6,5,8,2.5,9,9,4.5,7.5,4,5,8.5,9,7.5,3.5,8,9.5,13,8.5,7,7,6,3.5,8.5,8.5,10,7.5,6.5,8.5,4,7,5,9.5,4,1.5,4,8.5,9,10.5,7,5,2.5,3,6.5,9,3,22.5,5,4,3,8,8.5,4.5,4,6.5,3,2.5,10.5,9,12.5,4,8,8.5,5,9.5,8,8.5,15.5,11.5,18,7,10.5,11.5,4.5,10,21,6,2.5,0.5,1.5,4.5,10,8.5,7,12,7
224834,24,18.5,8,21.5,20,40.5,21.5,16,20.5,12.5,19.5,15,8,7,8.5,24,18.5,30.5,19,14,20,9,3.5,14,9,6,12.5,24.5,23.5,19.5,44,26.5,28,31.5,21.5,8.5,13.5,15.5,11.5,33.5,30,28.5,26,20,22.5,14.5,15,12.5,15.5,10,27,23.5,21,19,23.5,36,7,13.5,5.5,10,9,16,28,31,38.5,33.5,35,17.5,17.5,13,6,15.5,27.5,23.5,20,15,14,18,11.5,8.5,9,7.5,7.5,13,18.5,28,6.5,14,13,9.5,5.5,9,12,39,27,32,18,14.5,19,40.5,16,17,7.5,6.5,11,20.5,38,46,38.5,39.5,15.5,28.5,14,19,10.5,3.5,4,38.5,70.5,33.5,21,29,16.5,33,23.5,16,20.5,8.5,27,23.5,28.5,18,22.5,20,7,25,11.5,26.5
303643,1,0.75,1.5,0.5,0.5,0.5,0.5,1.25,0.75,0.75,1,0.5,0.75,0.25,0.25,1,1.25,0.5,1.25,1.25,0.25,0.25,1.25,1,1,1,1.25,0.5,0.5,1.25,0.25,0.5,1.25,0,0.25,0,2.25,1,1,1,0,0.5,0.25,0.25,0.5,1.25,1,1.25,0.75,0.5,0.25,0.75,0.5,0,0.25,1,0.5,0.25,1.25,0.75,0.75,0.75,0.25,1.25,0,0.5,0.5,0.25,0.25,1,0.5,0.75,0.5,1.25,0.75,0.75,1,1.25,0.25,0.25,0.75,0.5,1,2,0.5,0,0,1.5,0,0,1.25,2.25,1,1,0.5,0.5,0.25,0.25,1,0.5,0.25,1,1.75,2,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,1,1.25,1.75,1.25,1,0.25,1,2.75,1,0,1.25,0.5,0.25,1.25,0.5,1,0,0,0.25,0.75,0.5,0,1,0.25,0.25
3603301,1,0,0,0,0,0.5,0.5,1.5,0,0,2.5,0,0,1,0.5,0.5,1.5,0,1.5,0.5,0,2.5,0,1,0.5,0.5,0,0,0,0.5,0,1,0,0,0.5,1,0,1,0.5,0,0,0,0,0.5,0.5,0,0,1.5,0,0.5,0,0,0,0.5,0.5,1.5,0.5,0,0.5,0,0,0,0.5,2.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0,1,1,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,1,0,0.5,0.5,0,0,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0,1,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,1,0
571363,4,5,3,1.666666667,2.666666667,2.666666667,1.666666667,0.333333333,0.666666667,1.333333333,1.333333333,1,3.333333333,1.333333333,2.333333333,3,2,4.666666667,2.333333333,1.333333333,2,0.333333333,1.666666667,2.333333333,1,1.666666667,1,3.666666667,7.666666667,4.666666667,2.333333333,0.333333333,2,2.333333333,4.333333333,1.333333333,1,1.666666667,2.333333333,4,2.666666667,5.666666667,7,9,4,1.666666667,6.333333333,3.666666667,2.333333333,2.666666667,4.666666667,3.333333333,1.666666667,3.333333333,2.666666667,2.666666667,4,4,1,2.333333333,1.666666667,1.333333333,3.333333333,1.333333333,0.666666667,4.333333333,3.333333333,3,4,0.333333333,2.333333333,3.666666667,0.666666667,2,2.333333333,2,0.333333333,0,3.666666667,2,5,2.333333333,1,1.333333333,3.666666667,5.666666667,8,2,3,1.666666667,2,1.666666667,1,2.666666667,3,0.333333333,5,4,1.333333333,1.666666667,2.333333333,2.333333333,3.333333333,2,2.666666667,0.666666667,1,5.333333333,3,5,7.333333333,0.666666667,4.666666667,2.666666667,2.333333333,2,2.333333333,2.333333333,1,1.333333333,2.333333333,1,3,4,2.333333333,2.666666667,0.333333333,0.666666667,2.333333333,1.333333333,2,3.333333333,2,1.333333333,3,4,3,0.666666667
1044436,9.5,6.5,2.5,9.5,7,13.5,3,5,6,6.5,10.5,14,9,7,5,8.5,10,8,3.5,9,9.5,13,7.5,9.5,5,6.5,14.5,13.5,10,9,6,12,8,9,10,3,10.5,7,4,9,10.5,4.5,12.5,6.5,10,6.5,12,10,5.5,11.5,11,8,9,4.5,7.5,7,8,14,4.5,6,8.5,5.5,9.5,7,9.5,15,10.5,8,13,8.5,12,5.5,12.5,17.5,7,19,10.5,16.5,13.5,10,8.5,9.5,6,14,7.5,9.5,12,11.5,12,10,11,8,6,5,7,11,5,3,7.5,7.5,3,8.5,10,6.5,10,8,7.5,7,8,7.5,7,7,6.5,11,7,3.5,6.5,7.5,11,12,5.5,9.5,17,15,12.5,9.5,14.5,4,7,3.5,11.5,13,6.5,11.5,12.5,7.5,10.5,6.5
2216508,3.333333333,2,2,1.333333333,3,4.333333333,0.666666667,3,1.333333333,2.666666667,0,2.666666667,5.333333333,0.666666667,4.333333333,2.333333333,4,5,1.333333333,1.333333333,1.666666667,3.333333333,2.333333333,2.333333333,5.333333333,4,0.666666667,0.666666667,3.333333333,2.333333333,2.666666667,2.666666667,0,2.333333333,3.333333333,0,3.666666667,4,4,2,2.333333333,2,0.333333333,1.666666667,1.333333333,3,4,1,2,4,3,5,1,4,3,1.333333333,1,0.333333333,5.666666667,6,4,2.666666667,1.666666667,4,3.333333333,4,1.333333333,3.333333333,3.333333333,3.666666667,2,2.333333333,2.333333333,2,2.666666667,0.666666667,1.333333333,2.666666667,1.666666667,3,6.333333333,4,1.666666667,5,6.333333333,2,2.333333333,1.666666667,4,2.333333333,3.333333333,1.333333333,3.666666667,1.333333333,2.666666667,0.333333333,2,0.666666667,3.666666667,0.333333333,0,0.666666667,2.333333333,1.666666667,2.666666667,1.333333333,2.333333333,0.666666667,0.666666667,2,0.666666667,1.666666667,2.333333333,0.666666667,2.333333333,2.666666667,3.666666667,0.666666667,1.333333333,2,4,2.666666667,1.333333333,0.666666667,1,1,4.666666667,3.333333333,0.333333333,0.333333333,1.333333333,0.666666667,1.333333333,1.333333333,2,1.333333333,2,1
94238,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223989,1.5,0.5,1,1.5,3,3.5,1,3,1.5,0,0.5,1,0,1,0,0.5,2,3,0,2,0.5,2,3.5,2,2.5,4,1.5,0,3,2.5,1,5,5.5,3,0.5,0,0,1.5,0,1.5,0,2.5,0,0.5,2,2,0,0,0,1.5,1,3.5,0,1,0.5,0.5,3,1.5,1,0.5,0.5,0,3,4,1,1.5,1.5,4.5,1.5,4.5,4.5,3.5,2,2,1.5,2.5,1,0.5,1,1,0.5,0,0.5,2,1.5,1,0.5,2,3,0,1.5,2,0.5,0.5,1,2.5,3,0,2.5,5.5,2,2,1,0.5,0,0,5,3.5,1,3,1.5,6.5,4,3.5,0.5,1.5,0,1.5,1,2.5,6.5,0,3.5,6,1.5,0.5,2,1.5,0.5,1,3.5,2.5,1.5,3,1,2.5,4,1.5
3798902,1.666666667,0,1.666666667,0.333333333,0,0.333333333,0.666666667,0.666666667,2,1,2,0.333333333,2,0.333333333,0,0.333333333,0.666666667,0,0,0.666666667,0,0,0,0.666666667,1,0,0.333333333,0,0.333333333,1,0,0.333333333,0,0,0,0,0,1.333333333,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,1,0,0.333333333,0,0,0,0.333333333,0,0,0.666666667,0.666666667,0.666666667,0,0,0,1,0.333333333,0,1,0.333333333,0.666666667,0,1,0.666666667,0,0,0.666666667,0,0.333333333,0,0,0,0,0.333333333,0,0.666666667,0,0,0.666666667,0,0.333333333,1.666666667,0.333333333,0,0,0.666666667,0,0,0,0.333333333,0.666666667,0.333333333,0,0,0,0,0.333333333,0.666666667,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0
