SampleID,X.SampleID,Variety,SMC_perc_GravWaterCont_OutlierRmv,SRL_giaroots_OutlierRmv,PseudoRep,Block,Plot,VarRep,Ecotype,Origin,Y_coord,X_coord,SampleSite,Date,Date_Julian,Variety_ID,Avg_root_width_diam,Network_area,Network_perimeter,SRL_giaroots,Network_surface_area,Network_length,Network_volume,DNARootWetWt_g,EnvWt_g,WetRoot_EnvWt_g,DryRoot_g,WetRootWeight_total_g,DryWetRoot_ratio,DryRootWt_total_g,SRL,SRL_log,SRL_giaroots_log,RLD,RLD_OutlierRmv,pct_water_soil,pctN_soil,pct_Ndfa_sl,sfix_rate_gN_d,fix_rate_ugN_gsoil_d,NO3_ugperG.T0,NH4_ugperG.T0,NO3_ugperG.T7,NH4_ugperG.T7,days,min,nit,pct_water_rt,pctN_roots,pct_Ndfa_rt,rfix_rate_gN_d,fix_rate_ugN_groots_d,Notes_SR,harvest_year,harvest_date,planting_year,moisture_at_harvest_percent,dry_matter_yield_tons_acre,dry_matter_yield_mg_ha,inorg_N_ugperG.T0,SMC_perc_GravWaterCont,SMC_flag,Notes_TMC,fumigated_DOC_concentration_ugC_gsoil,fumigated_TN_concentration_ugN_gsoil,unfumigated_DOC_concentration_ugC_gsoil,unfumigated_TN_concentration_ugN_gsoil,ugC_MicBiomass_g_dry_soil,ugN_MicBiomass_g_dry_soil,MicBiomass_CN_ratio,DOC_TN_ratio,NO3_ugN_g_drysoil_K2SO4,NH4_ugN_g_drysoil_K2SO4,NO3_ugN_g_drysoil_K2SO4_SMCOutRmv,NH4_ugN_g_drysoil_K2SO4_SMCOutRmv,RootSieving_Date,DNAExtraction_Date,DNAextraction_notes
J5,TMCJ5,Alamo,8.913043478,583.6566384,2,Two,39,Alamo_2,Lowland,Native,8,2,Rhizosphere,27-Jul,209,J,0.036154419,16.451569,1064.782609,583.6566384,62.03676352,546.1826087,0.935794391,0.2502,2.8775,3.7116,0.1071,1.0843,0.12840187,0.139226148,3922.988726,8.274609072,6.369312862,5.563640712,5.563640712,16.53,0.102357688,0.101624515,5.61E-07,0.133359621,0.422728916,1.695,0.009393976,0.544033735,7,-0.223471601,-0.059047849,78.93,0.34863975,0.299655064,2.91E-07,1.339380344,,2016,11/4/2016,2009,0.42,3.8,8.51847,2.117728916,8.913043478,NA,,162.2420849,32.37872036,56.24979453,7.82127929,235.5384229,45.47674271,5.179316039,7.191891818,1.93,0.81,1.93,0.81,2/17/2017,9/30/2016,
J5,TMCSGendoJ5,Alamo,8.913043478,583.6566384,2,Two,39,Alamo_2,Lowland,Native,8,2,Endosphere,27-Jul,209,J,0.036154419,16.451569,1064.782609,583.6566384,62.03676352,546.1826087,0.935794391,0.2502,2.8775,3.7116,0.1071,1.0843,0.12840187,0.139226148,3922.988726,8.274609072,6.369312862,5.563640712,5.563640712,16.53,0.102357688,0.101624515,5.61E-07,0.133359621,0.422728916,1.695,0.009393976,0.544033735,7,-0.223471601,-0.059047849,78.93,0.34863975,0.299655064,2.91E-07,1.339380344,,2016,42678,2009,0.42,3.8,8.51847,2.117728916,8.913043478,NA,,162.2420849,32.37872036,56.24979453,7.82127929,235.5384229,45.47674271,5.179316039,7.191891818,1.93,0.81,1.93,0.81,2/17/2017,12/18/2017,
I8,TMCI8,NE28,5.427974948,NA,2,Three,36,NE28_3,Upland,Native,5,3,Rhizosphere,20-Jul,202,I,0.022819079,3.754253308,359.626087,2021.490083,13.79094956,192.373913,0.095164411,0,2.8644,3.0943,0.0219,0.2299,0.095258808,0.0219,8784.196941,9.080709584,7.611590183,1.959599806,1.959599806,16.84,0.086877623,0.768689872,3.50E-06,0.76849193,0.157206145,2.842698795,0.052687952,0.004656145,7,-0.420365835,-0.01493117,79.48,0.689100284,0.050535382,7.89E-08,0.400275241,,2016,11/4/2016,2009,0.63,2.6,5.82843,2.99990494,5.427974948,NA,,122.0877233,16.70863575,82.62076878,11.89664076,87.70434334,8.911101848,9.842143523,6.944882211,1.57,0.92,1.57,0.92,14-Apr,9/30/2016,
L10,TMCL10,EG1102,9.586056645,629.9266153,1,Four,45,EG1102_4,Lowland,Bred,3,12,Rhizosphere,27-Jul,209,L,0.03527155,6.097996219,405.6956522,629.9266153,23.07136467,208.2086957,0.330528494,0.2485,2.9411,3.1925,0.0296,0.4999,0.117740652,0.058858552,3537.441684,8.171159057,6.445603329,2.120899416,2.120899416,14.96,0.100247136,0.479346497,2.88E-06,0.616065559,1.307396386,3.385915663,3.255216867,1.609228916,7,0.024447676,0.278260069,77.21,0.453428617,0.03910945,5.39E-08,0.227350564,,2016,11/4/2016,2010,0.44,4.8,10.76017,4.693312048,9.586056645,NA,,132.808601,27.71869301,64.53273478,7.008783328,151.7241472,38.3516846,3.95612732,9.207409012,1.13,0.94,1.13,0.94,3/24/2017,9/30/2016,
I6,TMCI6,NE28,8.189655172,874.6644788,3,Two,35,NE28_2,Upland,Native,7,5,Rhizosphere,20-Jul,202,I,0.031068156,7.75879017,558.2,874.6644788,30.93691208,316.9652174,0.36238492,0.255,2.9064,3.6246,0.184,0.9732,0.256196046,0.249329992,1271.26791,7.147770036,6.77384036,3.228738081,3.228738081,16.72,0.07006982,0.886290909,3.07E-06,0.714640325,2.144277108,1.842036145,0.163781928,0.009067229,7,-0.544780585,-0.282927883,70.5,0.527502798,0.00922722,2.00E-08,0.055946949,,2016,11/4/2016,2009,0.62,2.7,6.0526,3.986313253,8.189655172,NA,,164.4174024,22.65345914,60.7464878,11.81492429,230.3798102,20.07136082,11.47803641,5.141504618,1.46,1.02,1.46,1.02,14-Apr,9/30/2016,
F8,TMCF8,Southlow,7.905982906,814.5112947,2,Three,24,Southlow_3,Upland,Native,5,10,Rhizosphere,20-Jul,202,F,0.031912782,4.976030246,348.6,814.5112947,18.46035771,184.1304348,0.22606247,0.2567,2.8618,2.9855,0.012,0.3804,0.097008892,0.036902183,4989.689534,8.515128969,6.702588295,1.875628347,1.875628347,16.69,0.103660296,0.639959839,3.36E-06,0.763388103,1.180781928,1.464643373,0.223454096,0.112727711,7,-0.329891928,-0.136761119,75.54,0.468128791,0.190918605,2.54E-07,1.027293053,,2016,11/4/2016,2009,0.57,3,6.72511,2.645425301,7.905982906,NA,,129.3222473,27.54221914,81.40026003,20.8873163,106.4933051,12.32389415,8.641205759,3.897114347,1.11,1.02,1.11,1.02,1/27/2017,9/28/2016,
F8,TMCSGendoF8,Southlow,7.905982906,814.5112947,2,Three,24,Southlow_3,Upland,Native,5,10,Endosphere,20-Jul,202,F,0.031912782,4.976030246,348.6,814.5112947,18.46035771,184.1304348,0.22606247,0.2567,2.8618,2.9855,0.012,0.3804,0.097008892,0.036902183,4989.689534,8.515128969,6.702588295,1.875628347,1.875628347,16.69,0.103660296,0.639959839,3.36E-06,0.763388103,1.180781928,1.464643373,0.223454096,0.112727711,7,-0.329891928,-0.136761119,75.54,0.468128791,0.190918605,2.54E-07,1.027293053,,2016,42678,2009,0.57,3,6.72511,2.645425301,7.905982906,NA,,129.3222473,27.54221914,81.40026003,20.8873163,106.4933051,12.32389415,8.641205759,3.897114347,1.11,1.02,1.11,1.02,1/27/2017,12/18/2017,
J7,TMCJ7,Alamo,5.491990847,414.4009452,1,Three,40,Alamo_3,Lowland,Native,6,11,Rhizosphere,27-Jul,209,J,0.039511082,15.58018904,936.1565217,414.4009452,63.32672738,510.173913,1.231111847,0.2467,2.8927,4.1579,0.2596,1.5119,0.205184951,0.310219127,1644.559822,7.405228042,6.026833972,5.196841326,5.196841326,16.39,0.105114293,0.582021217,3.29E-06,0.784342935,0.605707229,1.854289157,0.137695265,0.6102,7,-0.244585874,-0.066858852,82.48,0.439580483,0.669333024,6.68E-07,3.772124799,,2016,11/4/2016,2009,0.45,3.4,7.62179,2.459996386,5.491990847,NA,,123.12141,20.90391162,50.04337813,8.077435145,162.3956263,23.75273421,6.836923483,6.195454031,1.53,1.06,1.53,1.06,2/17/2017,9/30/2016,
J7,TMCSGendoJ7,Alamo,5.491990847,414.4009452,1,Three,40,Alamo_3,Lowland,Native,6,11,Endosphere,27-Jul,209,J,0.039511082,15.58018904,936.1565217,414.4009452,63.32672738,510.173913,1.231111847,0.2467,2.8927,4.1579,0.2596,1.5119,0.205184951,0.310219127,1644.559822,7.405228042,6.026833972,5.196841326,5.196841326,16.39,0.105114293,0.582021217,3.29E-06,0.784342935,0.605707229,1.854289157,0.137695265,0.6102,7,-0.244585874,-0.066858852,82.48,0.439580483,0.669333024,6.68E-07,3.772124799,,2016,42678,2009,0.45,3.4,7.62179,2.459996386,5.491990847,NA,,123.12141,20.90391162,50.04337813,8.077435145,162.3956263,23.75273421,6.836923483,6.195454031,1.53,1.06,1.53,1.06,2/17/2017,12/18/2017,
B7,TMCB7,Dacotah,3.958333333,838.1696932,1,Three,8,Dacotah_3,Upland,Bred,6,8,Rhizosphere,28-Jun,180,B,0.031387177,8.619584121,612.6695652,838.1696932,32.53217232,329.9217391,0.393621652,0.259,2.8603,3.1745,0.0434,0.5732,0.138128581,0.079175302,4166.97795,8.33494634,6.731220578,3.36071854,3.36071854,14.37,0.111154374,0.348556814,2.34E-06,0.543388702,0.799304819,2.91213253,0.757644578,0.766221687,7,-0.312510155,-0.005951463,77.98,0.626274347,0.367988235,6.68E-07,3.227753388,,2016,11/4/2016,2009,0.67,0.8,1.79336,3.711437349,3.958333333,NA,,45.59874536,10.51635269,33.4233972,4.969430389,27.05632924,10.27207833,2.633968353,6.725800461,0.7,1.07,0.7,1.07,4/10/2017,9/27/2016,
